idx,rule_class,treebank,sent_id,surface,model,claude,recommended,context,verdict
1,PERSON>LOC,perseus,phi0690.phi003.perseus-lat1.tb.xml@51,Lauini,PERSON,LOC,LOC,In regna «Lauini» Dardanidae uenient;,
2,PERSON>LOC,perseus,phi0690.phi003.perseus-lat1.tb.xml@55,Xanthus,PERSON,LOC,LOC,"Non Simois tibi, nec «Xanthus», nec Dorica castra defuerint;",
3,PERSON>LOC,perseus,phi0690.phi003.perseus-lat1.tb.xml@133,Aornon,PERSON,LOC,LOC,unde locum Grai dixerunt nomine «Aornon».,
4,PERSON>LOC,perseus,phi0959.phi006.perseus-lat1.tb.xml@34,Lycaei,PERSON,LOC,LOC,…latebris horrenda ferarum et cum Cyllene gelidi pineta «Lycaei»:,
5,PERSON>LOC,perseus,phi0959.phi006.perseus-lat1.tb.xml@203,Peneidas,PERSON,LOC,LOC,…s expalluit illa citae que uicta labore fugae spectans «Peneidas» undas ' fer pater ' inquit ' opem si flumina numen hab…,
6,PERSON>LOC,perseus,phi0959.phi006.perseus-lat1.tb.xml@221,Apidanus,PERSON,LOC,LOC,"…r parentem, populifer Sperchios et inrequietus Enipeus «Apidanus» que senex lenis que Amphrysos et Aeas, mox que amnes a…",
7,PERSON>LOC,proiel,33562,Philadelphiae,PERSON,LOC,LOC,et angelo «Philadelphiae» ecclesiae scribe .,
8,PERSON>LOC,proiel,76047,Amaltheam,PERSON,LOC,LOC,ego enim te arbitror caesis apud «Amaltheam» tuam uictimis statim esse ad Sicyonem oppugnandum prof…,
9,PERSON>LOC,proiel,76069,Miseni,PERSON,LOC,LOC,τοποθεσίαν quam postulas «Miseni» et Puteolorum includam orationi meae .,
10,PERSON>LOC,proiel,81808,Amalthea,PERSON,LOC,LOC,si quies dabitur ab «Amalthea» te non commouebo .,
11,PERSON>LOC,udante,DVE-49,Florentiam,PERSON,LOC,LOC,"…scibus equor, quanquam Sarnum biberimus ante dentes et «Florentiam» adeo diligamus ut, quia dileximus, exilium patiamur in…",
12,PERSON>LOC,udante,DVE-84-c,Apenini,PERSON,LOC,LOC,a meridie quoque Prouincialibus et «Apenini» deuexione clauduntur.,
13,PERSON>LOC,udante,DVE-91-c,Strate Maioris,PERSON,LOC,LOC,"…es, ut Bononienses Burgi Sancti Felicis et Bononienses «Strate Maioris».",
14,PERSON>LOC,udante,DVE-110-a,Apenini,PERSON,LOC,LOC,"…at de linea diuidente, breuiter respondemus esse iugum «Apenini», quod, ceu fistule culmen hinc inde ad diuersa stillic…",
15,PERSON>LOC,udante,DVE-111-a,Ducatus,PERSON,LOC,LOC,"Et dextri regiones sunt Apulia, sed non tota, Roma, «Ducatus», Tuscia et Ianuensis Marchia;",
16,PERSON>LOC,udante,DVE-111-b,Uenetiis,PERSON,LOC,LOC,"…onitana, Romandiola, Lombardia, Marchia Triuisiana cum «Uenetiis».",
17,PERSON>LOC,udante,DVE-122,Anconitane Marchie,PERSON,LOC,LOC,"Post hos incolas «Anconitane Marchie» decerpamus, qui Chignamente state siate locuntur: cum …",
18,PERSON>LOC,udante,DVE-150,Apenini,PERSON,LOC,LOC,Transeuntes nunc humeros «Apenini» frondiferos leuam Ytaliam contatim uenemur ceu solemus…,
19,PERSON>LOC,udante,DVE-161,Uerone,PERSON,LOC,LOC,"…ordellus de Mantua sua ostendit, Cremone, Brixie atque «Uerone» confini: qui, tantus eloquentie uir existens, non solu…",
20,PERSON>LOC,udante,DVE-287-g,Aquino,PERSON,LOC,LOC,Renaldus de «Aquino»: Per fino amore uo si letamente;,
21,PERSON>LOC,udante,DVE-306-b,Marsilia,PERSON,LOC,LOC,Folquetus de «Marsilia»: Tan m'abellis l'amoros pensamen;,
22,PERSON>NORP,perseus,phi0959.phi006.perseus-lat1.tb.xml@5,Lycaoniae,PERSON,NORP,NORP,"… arce, ingemit et, facto nondum uulgata recenti, foeda «Lycaoniae» referens conuiuia mensae, ingentes animo et dignas Iou…",
23,PERSON>NORP,perseus,phi0959.phi006.perseus-lat1.tb.xml@35,Arcadis,PERSON,NORP,NORP,"«Arcadis» hinc sedes et inhospita tecta tyranni ingredior, trahe…",
24,PERSON>NORP,perseus,phi0972.phi001.perseus-lat1.xml@139,Atticum,PERSON,NORP,NORP,"Mel «Atticum» ut domi nasceretur, apes ab Athenis iussit afferri;",
25,PERSON>NORP,perseus,phi0972.phi001.perseus-lat1.xml@592,Atticum,PERSON,NORP,NORP,uuam passam et mel «Atticum».,
26,PERSON>NORP,perseus,phi0972.phi001.perseus-lat1.xml@696,Homeristae,PERSON,NORP,NORP,"Ipse Trimalchio in puluino consedit, et cum «Homeristae» Graecis uersibus colloquerentur, ut insolenter solent,…",
27,PERSON>NORP,perseus,phi0972.phi001.perseus-lat1.xml@869,Alexandrinus,PERSON,NORP,NORP,"Interim puer «Alexandrinus», qui caldam ministrabat, luscinias coepi imitari clama…",
28,PERSON>NORP,proiel,23746,Aegyptio,PERSON,NORP,NORP,… et fecit ultionem ei qui iniuriam sustinebat percusso «Aegyptio» .,
29,PERSON>NORP,proiel,23772,Israhel,PERSON,NORP,NORP,hic est Moses qui dixit filiis «Israhel» .,
30,PERSON>NORP,proiel,82319,Canusinus,PERSON,NORP,NORP,alteram quam mihi «Canusinus» tuus hospes reddidit .,
31,PERSON>NORP,proiel,82332,Lycurgei,PERSON,NORP,NORP,nos met ipsi qui «Lycurgei» a principio fuissemus cotidie demitigamur .,
32,PERSON>NORP,proiel,77576,Arpinatium,PERSON,NORP,NORP,«Arpinatium» fremitus est incredibilis de Laterio .,
33,PERSON>NORP,udante,DVE-80-b,Yspani,PERSON,NORP,NORP,"…alii oc alii oïl, alii si affirmando locuntur, ut puta «Yspani», Franci et Latini.",
34,PERSON>NORP,udante,DVE-91-c,Fauentini,PERSON,NORP,NORP,"…enere gentis, ut Neapoletani et Caetani, Rauennates et «Fauentini», et, quod mirabilius est, sub eadem ciuilitate morante…",
35,PERSON>NORP,udante,DVE-113-b,Triuisianis,PERSON,NORP,NORP,"…andiolis, Romandiolorum cum Lombardis, Lombardorum cum «Triuisianis» et Uenetis, horum cum Aquilegiensibus, et istorum cum …",
36,PERSON>NORP,udante,DVE-113-b,Ystrianis,PERSON,NORP,NORP,"… et Uenetis, horum cum Aquilegiensibus, et istorum cum «Ystrianis».",
37,PERSON>NORP,udante,DVE-123-a,Florentinus,PERSON,NORP,NORP,"…unam uidimus recte atque perfecte ligatam, quam quidam «Florentinus» nomine Castra posuerat;",
38,PERSON>NORP,udante,DVE-384-a,Yspani,PERSON,NORP,NORP,Hoc etiam «Yspani» usi sunt - et dico Yspanos qui poetati sunt in uulgari…,
39,PERSON>NORP,udante,DVE-391-b,Florentini,PERSON,NORP,NORP,"…etur assumptum, sicut inueniri potest in illa Guidonis «Florentini» Donna me prega, et in illa quam diximus Poscia ch'Amor…",
40,LOC>NORP,perseus,phi0690.phi003.perseus-lat1.tb.xml@51,Dardanidae,LOC,NORP,NORP,In regna Lauini «Dardanidae» uenient;,
41,LOC>NORP,perseus,phi0959.phi006.perseus-lat1.tb.xml@212,Latiis,LOC,NORP,NORP,"tu ducibus «Latiis» aderis, cum laeta triumphum uox canet et uisent longas…",
42,LOC>NORP,perseus,phi0959.phi006.perseus-lat1.tb.xml@317,Indos,LOC,NORP,NORP,"…thera mente, Aethiopasque suos positos que sub ignibus «Indos» sidereis transit patrios que adit inpiger ortus.",
43,LOC>NORP,perseus,phi0972.phi001.perseus-lat1.xml@50,Tyria,LOC,NORP,NORP,"…erdidit, quae mihi natali meo cliens quidam donauerat, «Tyria» sine dubio, sed iam semel lota.",
44,LOC>NORP,perseus,phi0972.phi001.perseus-lat1.xml@769,Chiam,LOC,NORP,NORP,"Cum adhuc capillatus essem, nam a puero uitam «Chiam» gessi, ipsimi nostri delicatus decessit, mehercules ma…",
45,LOC>NORP,proiel,33623,Iuda,LOC,NORP,NORP,ecce uicit leo de tribu «Iuda» radix Dauid aperire librum et septem signacula eius .,
46,LOC>NORP,proiel,76048,Epiroticis,LOC,NORP,NORP,ita neque Achaicis hominibus neque «Epiroticis» paulo liberiores litteras committere audeo .,
47,LOC>NORP,udante,DVE-79,Ungarorum,LOC,NORP,NORP,"Ab isto incipiens ydiomate, uidelicet a finibus «Ungarorum» uersus orientem, aliud occupauit totum quod ab inde uo…",
48,LOC>NORP,udante,DVE-113-a,Sardis,LOC,NORP,NORP,"…m cum Tuscis, Tuscorum cum Ianuensibus, Ianuensium cum «Sardis»;",
49,LOC>NORP,udante,DVE-113-b,Lombardis,LOC,NORP,NORP,"… Anconitanis, horum cum Romandiolis, Romandiolorum cum «Lombardis», Lombardorum cum Triuisianis et Uenetis, horum cum Aqu…",
50,LOC>NORP,udante,DVE-127-a,Latiis,LOC,NORP,NORP,"Sardos etiam, qui non Latii sunt sed «Latiis» associandi uidentur, eiciamus, quoniam soli sine propr…",
51,LOC>NORP,udante,DVE-137-a,Apuli,LOC,NORP,NORP,«Apuli» quoque uel sui acerbitate uel finitimorum suorum conti…,
52,LOC>NORP,udante,DVE-137-b,Apuli,LOC,NORP,NORP,"…lzera che chiangesse lo quatraro Sed quamuis terrigene «Apuli» loquantur obscene comuniter, prefulgentes eorum quidam…",
53,LOC>NORP,udante,DVE-162-a,Lombardorum,LOC,NORP,NORP,…ero et Mutinensibus aliqualem garrulitatem que proprie «Lombardorum» est:,
54,LOC>NORP,udante,DVE-211,Lombardi,LOC,NORP,NORP,"…i sunt in Ytalia, ut Siculi, Apuli, Tusci, Romandioli, «Lombardi» et utriusque Marchie uiri.",
55,NORP>LOC,perseus,phi0959.phi006.perseus-lat1.tb.xml@191,Claros,NORP,LOC,LOC,"Mihi Delphica tellus et «Claros» et Tenedos Patarea que regia seruit, Iuppiter est geni…",
56,NORP>LOC,udante,DVE-111-b,Romandiola,NORP,LOC,LOC,"sinistri autem pars Apulie, Marchia Anconitana, «Romandiola», Lombardia, Marchia Triuisiana cum Uenetiis.",
57,NORP>LOC,udante,DVE-143,Pisa,NORP,LOC,LOC,«Pisa»ni: Bene andonno li fanti de Fiorensa per Pisa.,
58,NORP>LOC,udante,DVE-306-d,Belnui,NORP,LOC,LOC,Namericus de «Belnui»: Nuls hom non pot complir addreciamen;,
59,NORP>LOC,udante,DVE-306-f,Nauarre,NORP,LOC,LOC,Rex «Nauarre»: Ire d'amor que en mon cor repaire;,
60,NORP>LOC,udante,DVE-384-b,Belnui,NORP,LOC,LOC,Namericus de «Belnui»: Nuls hom non pot complir adrecciamen.,
61,NORP>LOC,udante,DVE-388-a,Ghisileriis,NORP,LOC,LOC,"… inuenimus, uidelicet Guidonem Guinizelli, Guidonem de «Ghisileriis» et Fabrutium Bononienses: Di fermo sofferire, et Donna…",
62,LOC>PERSON,perseus,phi0959.phi006.perseus-lat1.tb.xml@218,Peneus,LOC,PERSON,?,"Per quae «Peneus» ab imo effusus Pindo spumosis uoluitur undis, deiectu …",
63,LOC>PERSON,proiel,16683,Iudam,LOC,PERSON,?,…t Thomam Iacobum Alphei et Simonem qui uocatur Zelotes «Iudam» Iacobi et Iudam Scarioth qui fuit proditor .,
64,LOC>PERSON,proiel,18894,Iudam Simonis Scariotis,LOC,PERSON,?,dicebat autem «Iudam Simonis Scariotis» .,
65,LOC>PERSON,udante,DVE-123-a,Castra,LOC,PERSON,?,"…atque perfecte ligatam, quam quidam Florentinus nomine «Castra» posuerat;",
66,LOC>PERSON,udante,DVE-161,Sordellus de Mantua,LOC,PERSON,?,"… sicut facere quoslibet a finitimis suis conicimus, ut «Sordellus de Mantua» sua ostendit, Cremone, Brixie atque Uerone confini: qu…",
67,LOC>PERSON,udante,DVE-287-f,Columpnis,LOC,PERSON,?,"Iudex de «Columpnis» de Messana: Amor, che lungiamente m'hai menato;",
68,LOC>PERSON,udante,DVE-304-d,Totila,LOC,PERSON,?,"…e florum de sinu tuo, Florentia, nequicquam Trinacriam «Totila» secundus adiuit”.",
69,NORP>PERSON,perseus,phi0972.phi001.perseus-lat1.xml@287,Phileros,NORP,PERSON,PERSON,"Haec «Phileros» dixit, illa Ganymedes:",
70,NORP>PERSON,udante,DVE-140,Gallum Pisanum,NORP,PERSON,PERSON,"…m se ad curiale uulgare direxit, Bonagiuntam Lucensem, «Gallum Pisanum», Minum Mocatum Senensem, Brunectum Florentinum, quorum…",
71,NORP>PERSON,udante,DVE-140,Minum Mocatum Senensem,NORP,PERSON,PERSON,"…uulgare direxit, Bonagiuntam Lucensem, Gallum Pisanum, «Minum Mocatum Senensem», Brunectum Florentinum, quorum dicta, si rimari uacaue…",
72,NORP>PERSON,udante,DVE-146,Cynum Pistoriensem,NORP,PERSON,PERSON,"…cilicet Guidonem, Lapum et unum alium, Florentinos, et «Cynum Pistoriensem», quem nunc indigne postponimus, non indigne coacti.",
